,WQI_predict,True_WQI
815,72.4214,74.217336231884
1691,98.67958,97.1115057971015
418,169.68773,167.562069565217
341,68.10191,65.8047489855072
1270,117.29591,122.803030434783
1467,91.21185,90.7688724637681
1729,87.41058,91.0712938550725
1035,380.09464,385.34962057971
126,47.046093,47.7023
1201,52.809452,52.7254837681159
779,42.80624,38.5636515942029
702,71.72772,71.459215942029
98,51.36632,55.1905814492754
628,70.56749,88.8898434782609
1557,60.90694,63.9752037681159
1279,336.56863,315.091908405797
453,60.38994,59.9531698550725
361,58.60279,57.2509368115942
1506,63.761303,65.0281107246377
926,53.290016,57.5762020289855
1454,38.41508,43.1962411594203
368,51.42259,51.5434565217391
860,52.7775,52.2937828985507
267,129.88654,146.294144057971
1383,78.86813,70.3571971014493
1185,41.788776,31.5626255072464
840,52.365337,48.1733637681159
282,72.5728,75.7568884057971
82,55.13032,54.8617762318841
643,85.34541,86.8599295652174
737,50.681065,48.152175942029
720,99.17032,102.203388695652
527,83.139084,83.369244057971
301,76.69382,79.8366895652174
683,64.88117,66.1939237681159
432,59.929295,61.001088115942
555,99.384705,98.1688973913044
757,426.5708,448.563376811594
990,50.772854,52.2778376811594
1627,55.11914,52.4962566956522
1615,82.48056,78.8859167246377
1078,55.603535,61.8930037681159
403,73.8195,69.7128049275362
133,61.46345,56.6506684057971
1210,68.0844,67.8729475362319
1079,76.59213,80.443487826087
331,59.504612,58.9313246376812
91,38.51807,39.2676408695652
1163,39.688343,43.8985397101449
1369,49.75619,45.7858631884058
264,153.38057,162.09417942029
1733,84.59819,88.6230120289855
190,54.91985,56.3013472463768
181,60.73424,63.8527402898551
1715,61.36616,58.5451150724638
53,89.72995,98.1345092753623
1205,42.982155,41.3726498550725
1059,43.790665,44.4699820289855
1388,84.18582,78.2429733333333
1158,98.715485,132.061867246377
922,65.357956,62.7652194202899
1251,63.793377,68.477548115942
888,141.19432,137.428627536232
202,35.370075,27.3519478260869
1090,97.928635,109.009122318841
107,48.9868,53.2637150724638
531,87.07849,89.6446020289855
65,65.34433,68.2273788405797
661,51.274372,47.9140344927536
1156,126.034744,139.921259710145
537,83.782745,84.1498165217391
1613,92.54901,88.463138173913
167,903.1559,878.519787536232
297,78.995255,78.7968686956522
858,43.905113,44.4613104347826
1754,205.46672,212.599018115942
598,75.99992,72.073808115942
854,53.23449,48.1858428985507
8,140.17278,147.379163768116
1315,865.53394,801.103422608696
1610,165.20802,155.155129101449
1587,106.66301,105.623553101449
1460,80.02205,79.5533066666667
1593,60.007504,61.341296
1473,85.60141,83.4849968115942
558,56.743443,58.2889431884058
547,76.887405,79.1567162318841
268,146.16367,131.841035072464
1229,39.06674,37.1657092753623
671,66.95325,69.4779924637681
725,58.53225,59.6699994202899
632,59.017048,63.122687826087
986,37.60429,37.3148626086957
1603,44.58112,42.5334646666667
1571,78.01935,78.3056333623189
1575,62.865757,66.6416766666667
336,43.10041,44.4446730434783
804,76.465546,78.0694107246377
1248,91.95511,93.1891144927536
1496,64.10729,54.9953684057971
1756,305.55823,291.262624637681
1240,65.18567,62.0704753623188
1276,418.10007,449.412955072464
1376,37.250015,36.7244226086957
742,49.26505,49.71564
281,76.11377,77.982348115942
1384,62.143368,63.933052173913
1550,69.08446,69.9087527536232
802,610.8616,574.984844927536
872,53.51874,57.6151086956522
1037,57.68156,61.523955942029
1591,47.612648,50.2613603478261
863,50.7487,51.4355675362319
1482,81.10385,80.3588098550725
1570,69.36539,69.1387405797101
613,57.107784,54.5470246376812
1102,60.99027,57.459495942029
1704,50.32043,48.2544443478261
919,41.770313,39.6269933333333
730,52.002186,52.207608115942
3,196.38565,195.10565884058
952,83.10695,83.7668446376812
1083,93.65228,93.4221139130435
1230,80.89465,72.7715704347826
1105,86.77774,92.5446301449275
1657,657.63367,651.346693710145
37,92.313385,91.5871162318841
140,972.0826,933.877407246377
161,52.719643,53.5778101449275
655,579.49896,566.973933913044
348,51.982525,54.3042965217391
1456,61.599377,62.910288115942
