S.Code,WQI clf,latitude,longitude
1901,1,30.896028,75.873728
1902,1,30.895817,75.859742
1903,1,30.904136,75.8168
1194,0,17.981764,73.795456
1153,0,16.657053,73.521386
36,0,17.295256,74.188776
1906,0,17.029275,74.380064
37,0,16.824045,74.64951
1310,0,16.681396,74.590278
2187,0,17.688548,74.063324
2188,0,17.688252,74.063303
2190,0,17.949284,73.891316
1182,0,16.640864,74.821308
1889,0,16.5575,74.679717
1181,0,16.242436,76.370678
1170,0,16.380508,77.362725
1028,1,16.369172,76.656647
2781,0,16.325069,75.899925
1784,0,16.424222,77.278883
1175,0,16.001874,78.364986
39,0,16.338826,77.610192
1465,0,16.694675,79.689933
1786,1,16.801875,80.129553
1787,1,16.582608,80.343451
25,1,16.492476,80.640839
3079,1,16.398256,80.721106
3083,1,16.087917,78.890169
1782,1,16.000123,81.079082
1491,0,30.946033,78.688498
1484,0,30.287506,78.985451
1485,0,30.290028,78.979932
1486,1,30.285854,78.978295
1487,0,30.144753,78.601484
1488,0,30.147103,78.598107
1489,1,30.140504,78.597358
1060,1,30.115135,78.307032
2725,0,30.019619,78.22939
1061,0,29.945254,78.164675
2727,1,29.851669,77.879742
1062,0,28.76062,78.143766
2488,1,28.364396,78.270269
2489,1,28.274208,78.324338
1145,1,28.1897,78.395878
2490,1,27.927803,78.866289
1063,0,27.138451,79.930775
1066,0,27.010953,79.986442
1146,0,26.610906,80.275419
1067,0,26.505542,80.314344
1068,0,26.436185,80.40961
1147,0,26.074386,81.024075
2498,0,25.774293,81.382673
1046,0,25.502474,81.855439
2487,0,25.443124,81.887148
1049,0,25.419206,81.900522
2485,0,25.244031,82.418272
2486,0,25.177058,82.602225
1070,0,25.289358,83.006389
1071,0,25.321486,83.035285
1073,0,25.578175,83.609594
2502,2,29.485839,78.058761
3036,0,29.247691,78.099592
1074,0,25.573508,83.966669
2551,0,25.576142,83.970428
1077,0,25.650869,85.115085
2556,0,24.902403,84.2074
2564,0,25.708441,84.889727
2552,0,25.622179,85.172816
1079,0,25.613753,85.204131
2555,0,25.627333,85.155472
2553,0,25.511611,85.307417
1817,0,25.401104,85.923198
1815,0,25.381441,85.987169
