,WQI_predict,True_WQI
598,82.91967,73.34334802028987
1291,435.78326,413.46076057971015
190,74.20135,62.718483921739136
53,43.04539,16.60381652173913
531,309.2404,414.9601356608695
1030,136.20088,124.92019652173911
382,514.9703,597.2288026724639
1388,367.4957,403.7020020289855
1476,116.064545,114.4900255072464
1332,71.311646,64.15372348695651
623,34.01006,111.53296521739132
1163,76.456604,84.41523652173913
528,75.15049,73.05302174782608
1374,65.189514,67.20798231884056
1123,71.25041,66.94874725507246
1471,141.7997,133.2245
679,656.6562,655.782973052174
1117,62.433796,52.47634318840579
48,25.502924,44.18549652173914
1112,52.494495,58.11088985507247
1176,57.257824,54.74748985507247
1547,37.252357,60.41298811594203
929,69.94361,68.4836631884058
1226,54.61583,49.68792115942029
1430,107.622696,108.0855431884058
1433,87.93007,85.48757594202898
91,98.30031,84.59814985507248
1309,68.26631,63.92482028985507
757,63.68492,61.66558057971015
671,469.6382,475.1679043565216
496,83.91073,89.13951017391305
529,76.40029,72.60765479130436
1158,71.9563,70.42264985507245
816,85.64759,86.66158782608697
733,55.045258,44.50576985507247
30,16.632036,75.3475631884058
979,75.40546,68.04586058840579
1508,53.344868,54.37011594202898
951,69.92194,65.27234985507246
1341,68.05672,56.17346550724639
1043,65.89681,75.8571205884058
428,99.02489,103.24594964347828
202,74.25357,82.87161633043479
286,24.718931,112.24801412753622
785,90.54502,77.45122406666667
1274,68.868225,68.64096927536232
37,64.34543,61.34939652173913
874,49.68315,48.58114318840579
1401,134.3087,178.84482376811596
1322,63.75996,60.267679710144925
255,143.2794,192.30145902898556
418,57.091675,110.32722751594204
288,26.830359,63.88528945507246
422,40.3983,86.12590011594202
1008,60.135216,55.30728985507246
1553,66.185135,36.02929884057971
1083,86.04734,90.86045652173912
759,2829.7607,2871.5173221739133
866,473.77982,482.8658681246376
776,76.92914,66.46882116811594
80,70.909355,66.47097392173913
401,50.037018,101.69890498550724
372,2689.3823,2760.4681398550724
101,78.8248,76.57658058840579
304,30.954145,81.58352913333333
275,3586.0806,3592.657069342029
1074,62.24105,71.7870431884058
1257,65.16151,126.43237855072464
1229,13.28062,36.19799565217391
1022,73.38633,61.13102725507247
102,75.15428,66.15890725507246
264,106.695435,155.52720355072464
442,92.588974,98.5377005884058
737,67.32169,55.21556957391306
1102,67.4992,67.83702985507246
1181,56.22351,52.68950985507247
268,69.36334,124.4367339072464
494,171.95085,161.85449089275363
987,60.337894,56.47432318840579
299,13.120231,48.33924168695653
596,65.42634,63.45555797101449
1241,69.83177,68.14659711014492
1144,44.596977,56.94988318840579
478,74.66977,76.62954046086958
414,103.702286,149.3782780724638
1304,14.846248,41.5437915942029
