S.Code,WQI clf,WQI_clf_pred,latitude,longitude
2121,2,3,23.141901,77.615943
2122,2,2,23.333714,77.778319
1614,3,3,23.541173,77.801938
2124,3,3,23.540606,77.802246
2125,3,3,23.550512,77.79947
1735,3,3,24.651228,78.423136
1356,3,3,25.94085,80.153822
2120,3,3,23.110272,77.508595
1613,2,2,22.960571,77.346276
1365,3,2,22.428806,75.508689
1366,3,3,22.428791,75.508684
2955,3,2,24.07656,75.526392
1418,2,2,24.699027,75.551954
1288,2,2,25.141518,75.794083
1289,3,3,25.268768,75.906611
1413,2,2,25.864446,76.574623
1609,2,2,26.660536,77.904557
1376,3,3,26.544188,79.089502
1432,2,2,24.586045,77.069419
1615,2,2,23.503227,77.133531
2126,3,3,23.495145,77.100818
2954,3,2,25.681506,76.485765
1607,2,2,26.429359,78.430415
1367,2,2,22.703363,75.877149
1369,3,3,23.187353,75.764282
1370,3,3,22.97582,75.917157
1468,3,3,23.211447,75.774618
2953,2,2,25.160724,76.22887
2956,3,3,25.393522,76.327061
1608,2,2,25.888006,78.337099
2117,3,3,24.518131,81.299578
1433,2,2,26.226494,77.995516
2950,3,3,24.692006,72.929236
2952,3,3,26.919491,75.930328
2951,3,3,25.905847,75.463861
2945,3,2,24.600889,76.152494
2946,3,3,24.6087,76.170272
2382,3,3,23.761172,86.011903
2383,2,2,23.700981,86.372953
2384,2,2,23.643092,86.464492
2391,1,2,23.681006,86.751872
1331,3,3,23.685031,86.823472
1332,2,3,23.646961,86.897068
1333,3,3,23.584399,87.103495
1334,3,3,23.429785,87.364995
1335,3,3,22.066481,88.068869
2527,3,3,23.206144,87.850831
2392,2,2,23.785806,86.813612
1336,3,3,23.721689,86.801628
2390,1,2,23.780586,85.876131
2509,3,3,22.437711,87.880747
1337,3,3,22.21835,88.024305
2541,3,3,23.213568,87.076517
2531,3,3,24.11604,87.797555
2532,3,3,24.111261,87.794355
2508,3,3,22.666078,87.744922
2514,3,3,23.413356,88.471892
1764,3,3,23.177966,88.558164
2518,3,3,23.197644,88.573014
2517,3,3,26.383597,89.195381
2534,3,3,23.944125,87.5379
2507,3,3,22.40088,87.341394
1946,3,3,26.739728,88.422452
