S.Code,WQI clf,WQI_pred,latitude,longitude
1496,0,689.949804,30.069997,77.355057
1119,0,1677.366396,29.002116,77.023752
1120,0,281.4786484,28.85018,77.210184
1497,0,78259.06857,28.095092,77.477669
2495,0,665.5306275,27.586087,77.696364
1123,0,17325.99791,27.564981,77.708718
2494,0,1035.972869,27.504755,77.686524
1124,0,55684.63399,27.443052,77.716133
1125,0,6574.74444,27.250657,77.861624
1126,0,146228.8514,27.17969,78.119555
2493,0,987.7902254,29.604121,77.109833
1498,0,5241.336606,26.932682,78.54366
1127,0,2374.905948,26.752436,79.01967
1499,0,3215.377546,26.42602,79.478799
1129,0,140.1413657,0.0,0.0
1069,0,109.6698913,25.422471,81.838806
2724,0,3493.137531,30.25,78.016667
2728,1,56.58111338,29.209064,79.537174
1064,0,171.4182819,27.190822,79.818261
1065,0,199.9863365,27.161314,79.919914
2482,0,319.9227671,25.386717,82.852628
2483,0,1940.701715,25.332956,83.043393
1361,0,92.45197428,26.649979,80.793854
2484,0,329.3864651,25.629922,82.756208
1350,0,82.80581859,27.572878,80.67895
1351,0,115.1139371,26.862031,80.931322
1352,0,1714.176263,26.833275,80.995211
1353,0,469.2520788,25.751611,82.726469
1072,0,372.8797346,25.507856,83.158181
2491,0,88.83761202,26.733174,83.347894
1363,0,80.63810237,26.754692,83.334211
1354,0,153.5875198,26.797519,82.234306
1355,0,81.62641763,26.169467,83.868992
2492,0,82.93002288,26.278524,83.513885
1076,0,92.66085108,25.771153,84.654639
1359,0,83.05561444,24.339814,83.003589
1360,0,95.6807951,24.261214,83.009353
1075,0,93.87766434,25.5753,84.798144
1078,0,88.63863732,25.675279,85.189845
2568,0,99.64165345,25.988349,85.045545
2570,0,94.94957323,25.867123,85.784927
2575,0,102.9733173,26.560646,85.052409
1820,0,105.6799591,26.960335,84.534192
2562,0,98.49046938,26.138571,85.388808
2558,0,156.8474086,27.105529,84.454541
2567,0,86.17423748,26.269758,86.268875
2569,0,90.48737558,26.135844,86.333137
2563,0,131.0388029,26.576389,85.317222
2565,0,100.6213217,25.42082,87.236262
2566,0,108.0052354,25.930352,86.801274
1821,0,91.96484381,26.222639,84.354122
2560,0,161.3344829,26.520035,84.357095
2561,0,105.4377901,26.223497,84.347097
1823,0,115.8691746,26.410836,86.237178
1824,0,93.99545962,26.399461,87.242477
2559,0,223.3637754,27.170083,84.322471
1822,0,356.5954323,26.98375,84.857739
1510,2,37.89715295,30.556089,77.777152
2620,1,59.46757428,30.892361,77.210569
2626,1,53.39072565,30.455225,77.584234
2627,1,56.38877217,30.429819,77.578623
2621,1,58.2393307,30.882006,77.211344
2622,0,50.63189083,30.522537,77.667622
2623,1,55.40076105,30.552658,77.643922
2617,2,34.20625958,31.126891,77.74353
2618,2,40.78179117,31.200297,77.753211
2619,2,38.24110273,31.083417,77.802406
1477,0,318.4970527,29.474581,77.67095
2496,0,4235.501653,29.186169,77.494114
1358,0,2888.207455,28.673761,77.402644
2107,1,63.53265997,25.767472,79.331309
2108,1,67.0578361,24.317042,78.127198
2119,0,400.3976895,23.070703,77.536902
2121,1,66.39653214,23.141901,77.615943
