S.Code,WQI clf,latitude,longitude
1233,1,23.031056,75.210878
1232,1,23.648483,74.126708
1230,1,23.324822,73.9021
1229,1,23.285842,73.831736
1863,0,22.342298,73.052575
1864,1,22.254744,72.982618
1231,1,23.152072,73.551372
4,1,22.81225,73.359778
5,0,22.4405,73.073361
1227,1,23.055164,73.716378
1228,0,22.846264,74.291789
2102,1,24.05703,75.074378
2103,0,23.330385,75.034646
2104,0,23.639659,75.126136
2105,1,23.396067,76.291283
1866,0,23.090926,72.629239
1221,0,24.22986,73.005317
1482,0,23.496903,72.796265
1,0,24.004528,72.853278
2,0,22.982611,72.543139
1409,0,23.06353,72.589064
1408,0,23.031314,72.575114
1222,0,22.739321,72.679059
1437,0,22.868749,72.627351
1241,1,22.598638,80.371449
44,0,22.762685,77.71649
1240,1,22.948622,79.190171
1234,1,22.756614,77.690036
2123,1,22.761672,77.7185
1235,1,22.756584,77.687182
2106,1,22.496589,76.980555
2113,1,22.283823,76.471463
1430,1,22.243694,76.150756
2112,1,22.226413,76.045534
2099,1,23.124913,79.774671
45,1,22.177393,75.659194
1431,1,22.169213,75.583684
1239,1,22.037618,74.901793
7,1,21.887833,73.645444
1245,1,21.983722,73.456331
1244,1,21.950608,73.584697
1243,1,21.665906,72.916681
1981,2,21.714997,73.042891
1236,1,22.562555,77.978245
2114,1,22.168429,75.723814
2100,1,23.117239,79.99781
2101,1,23.899675,80.512005
9,2,21.4345,76.436556
2115,1,21.435417,76.436112
10,1,21.286389,76.222361
1250,1,21.264413,76.190181
1313,0,21.24294,76.034146
1251,0,21.047772,75.786357
1314,0,21.546291,74.466807
46,0,21.259844,73.565783
1247,0,21.247908,73.301033
47,0,21.284075,72.952236
1248,0,21.2855,72.935483
1982,0,21.194545,72.811552
1983,0,21.221618,73.170007
2071,0,21.148919,72.743684
1253,0,20.559014,74.508394
1252,0,20.674774,75.22279
1907,0,21.161624,73.793751
2070,0,21.461094,72.726327
2127,0,22.124707,78.03034
2155,0,20.88237,76.856618
1851,1,20.308614,81.917614
1264,1,20.652037,81.551365
1099,1,20.969822,81.876732
1852,1,21.15025,82.002864
1100,1,21.730837,82.565689
1282,1,21.728709,82.568814
1467,1,21.695876,83.2426
1101,1,21.665195,83.433435
1281,0,21.516358,83.851139
1270,0,21.455443,83.960359
1271,0,21.460108,83.969058
1272,0,20.865096,83.91172
1274,0,20.855331,83.904147
1275,0,20.612579,84.790163
1276,1,20.463775,85.083179
1277,0,20.490062,85.895865
1278,0,20.48147,85.893506
1639,0,20.268444,86.6548
1107,1,21.038264,80.973647
1845,1,21.189994,81.280092
1266,0,21.618808,81.695639
1265,1,21.248011,81.542917
1847,1,21.200022,81.237472
1846,1,21.179853,81.2545
1853,0,21.105793,81.579948
1105,1,22.380472,82.708433
1106,1,22.048233,82.634978
1848,1,22.069453,82.190639
1849,1,21.914789,83.404678
1850,1,21.911203,83.407498
1267,1,22.124146,84.043157
1268,0,21.856425,84.002419
1300,0,21.863911,83.947739
1269,0,21.828126,83.941121
1279,0,20.297906,85.882365
1280,0,20.297755,85.880734
1301,0,20.444394,85.890897
1640,0,20.546532,85.91187
1037,0,22.228669,84.803932
1038,0,20.697347,85.747603
1302,0,22.182883,84.847889
1039,0,21.820606,84.9516
1040,1,21.276098,85.035007
1041,0,21.074527,85.142032
1303,0,20.949817,85.216631
1042,0,20.867785,85.278472
1043,0,20.879162,85.835492
1044,0,20.770422,86.149638
1045,0,20.585906,86.568249
1033,1,22.865836,84.809988
2376,1,23.98785,84.087925
2377,0,24.249494,83.855053
1035,1,22.833734,85.130562
1034,1,22.460644,84.331716
1081,0,22.018734,85.406998
1082,0,21.214851,86.121323
1083,0,20.851312,86.33016
1084,0,20.774033,86.744211
1641,0,21.770058,87.156229
2397,2,23.454046,85.471177
23,0,23.377028,85.423056
2386,2,23.368919,85.875506
2385,0,23.33402,85.359996
1762,1,22.222214,86.70885
2395,2,23.2907,85.255961
1312,0,19.485317,75.370099
2177,0,20.022812,73.728178
2182,0,20.014695,74.007463
2179,0,20.008887,73.783052
2183,0,20.012385,74.113719
2181,0,19.98729,73.811026
2180,0,19.987307,73.811028
1096,0,20.008676,73.792361
1211,0,20.001568,73.795314
1095,0,20.048123,73.679809
2160,0,19.63253,75.028605
2158,0,19.478228,75.384879
2159,0,19.467269,75.397267
2161,0,19.360024,75.709583
12,0,19.226068,76.367013
1210,0,19.113106,77.288242
1209,0,18.85443,77.527475
2360,0,18.868297,77.962194
2361,1,18.838133,79.441697
2362,1,18.819131,79.468017
2363,0,18.781656,79.513558
2364,1,18.786369,79.521028
2356,1,18.727075,79.620161
2365,1,18.288014,80.492375
2366,1,18.263814,80.538533
13,1,18.850151,79.442839
2367,1,17.674897,80.883094
2368,0,17.655586,80.876653
2369,1,17.648483,80.8775
2370,1,17.023186,81.768181
14,1,17.247331,81.646613
1218,1,17.069466,81.711134
2371,1,16.958989,81.78175
1219,1,17.007975,81.763328
1854,1,18.900033,81.344044
1855,1,18.731275,80.278886
1856,1,18.888807,81.370074
2374,0,17.64797,78.143382
2375,0,17.650778,78.134958
1781,0,17.649043,78.118479
1891,0,17.951522,77.649047
1215,0,17.974814,79.898686
1158,1,18.369532,79.626751
2174,0,19.922574,79.113955
2156,0,20.062424,78.956456
1212,0,19.77611,79.354942
1213,1,21.802913,80.157861
1214,1,21.804398,80.157483
1910,0,19.731126,79.776401
2173,0,21.380729,79.745477
2172,0,21.380853,79.745595
2175,0,20.609867,79.857681
2176,0,20.610126,79.858051
11,0,19.715385,79.685289
1908,0,21.246917,79.153882
1909,0,21.087098,79.474422
2170,0,21.206788,79.246193
2171,0,21.209724,79.236711
1913,0,20.933469,76.276878
1315,0,20.726241,78.31758
1157,0,17.48468,79.107452
2373,1,17.616333,81.286295
1906,1,17.029275,74.380064
1153,1,16.657053,73.521386
2187,0,17.688548,74.063324
2188,0,17.688252,74.063303
2190,0,17.949284,73.891316
1194,0,17.981764,73.795456
36,0,17.295256,74.188776
1310,1,16.681396,74.590278
37,1,16.824045,74.64951
1182,0,16.640864,74.821308
1889,0,16.5575,74.679717
1181,1,16.242436,76.370678
1028,1,16.369172,76.656647
1170,0,16.380508,77.362725
1784,0,16.424222,77.278883
39,0,16.338826,77.610192
1175,0,16.001874,78.364986
1465,0,16.694675,79.689933
1786,1,16.801875,80.129553
1787,1,16.582608,80.343451
25,1,16.492476,80.640839
1782,1,16.000123,81.079082
1311,1,16.746155,74.445716
2163,1,16.721492,74.594819
1904,1,16.688467,74.169462
1905,1,16.695477,74.274998
1189,0,18.481871,73.829569
1190,0,18.54325,73.885036
1191,0,18.560303,74.37332
1192,0,18.464553,74.583576
1188,0,17.985845,75.116249
28,0,17.703734,75.544604
1183,0,17.179219,76.566603
1184,0,17.069328,76.794283
1888,0,17.043481,76.814478
1167,0,16.7341,77.130744
1185,1,16.328103,75.268333
1163,0,16.174961,74.822508
1187,0,15.633431,74.510322
1164,1,15.797983,75.191492
1186,0,16.009319,75.878022
2195,0,18.103405,74.234805
1463,0,18.172703,73.953644
2186,0,17.732719,73.991512
2189,0,17.278589,74.183705
2194,0,18.5746,73.836055
2193,0,18.567737,73.811752
2192,0,18.535371,73.933306
2191,0,18.532374,73.843415
2196,0,18.670292,73.681639
2197,0,18.682216,73.900116
38,1,14.236122,75.659356
1029,1,14.325397,75.771092
29,0,15.494844,76.692417
1785,0,15.944453,77.419709
1174,0,15.8483,78.034942
1168,1,13.926464,75.583336
1896,1,14.011333,75.676667
1091,1,13.003125,77.565306
1387,0,13.832272,75.713164
1169,0,13.989311,75.683736
1172,1,17.370422,78.472561
1173,0,17.370097,78.469786
2339,0,17.382722,78.557775
1178,1,16.951698,80.048401
1177,1,16.670823,80.297751
1911,0,17.724868,75.323936
1912,0,17.677706,75.339011
1895,0,17.107483,76.955311
2350,0,15.819061,78.056866
2351,0,15.49,78.4748
2372,1,17.224489,80.127061
1255,0,14.150574,77.822711
1256,0,14.572795,78.79715
1257,1,14.481442,79.290142
30,1,14.464393,78.964627
1198,1,12.314149,75.698522
1195,1,12.448489,75.96987
33,1,12.425291,76.57265
1386,1,12.418187,76.679259
1171,0,12.423705,76.693672
34,1,12.25531,77.163515
50,1,11.796255,77.806971
1322,0,11.445663,77.677626
51,0,11.368215,77.741107
1320,0,11.335795,77.753762
1323,1,11.18,78.01
1324,1,11.064392,78.120358
1451,1,11.050024,78.120645
31,1,10.955345,78.443949
1202,1,10.833263,78.718224
1325,1,10.766809,78.665272
1203,0,10.830327,78.81177
1206,0,11.34,79.24
1326,1,11.326822,79.702981
1327,0,11.418828,79.772375
1893,1,13.006814,76.099553
1199,1,12.809694,76.205642
1200,1,12.979108,76.851622
1166,1,12.422764,77.226144
1165,0,12.535417,77.424792
1196,0,12.302189,76.286164
1207,2,11.697858,76.397006
1197,1,12.019853,76.388075
41,1,12.166761,76.792908
1445,0,12.128439,76.683919
1208,2,11.197053,76.722381
1201,1,11.469259,77.296165
1204,1,11.319948,77.011429
1321,1,11.485294,77.134603
1319,1,10.541244,77.368656
1205,1,11.454094,77.679567
1393,1,0.0,0.0
1150,1,20.358825,72.881708
1246,0,20.371433,72.881108
1860,0,21.223442,72.89572
1861,0,20.980464,73.016757
1862,0,20.756033,73.066786
1865,0,22.023279,70.368724
1148,0,20.772106,72.951625
1149,0,20.461511,72.886556
1435,0,20.342461,72.905403
1438,0,21.111549,73.111601
1436,0,21.763115,70.424313
2072,0,22.715528,71.672688
1399,1,15.2715,74.08885
1475,1,15.281044,74.071108
1476,0,15.550258,73.949164
1400,1,15.499719,73.834744
1543,1,15.74629,73.899494
1544,1,15.561455,73.990584
1545,1,15.536364,74.148515
2270,1,15.410589,74.054325
1546,1,15.466425,74.038825
1547,1,14.98929,74.04736
1548,1,15.615148,73.900658
2271,1,15.188883,73.995911
2272,0,15.232069,74.149461
2274,1,15.608275,73.836869
2275,1,15.700331,73.904347
2276,0,15.590815,73.952907
1093,0,19.245652,73.156487
1094,0,19.162099,73.238148
2162,0,19.215959,73.240641
1461,0,19.311193,73.169404
1092,0,19.269435,73.168239
1462,0,18.830474,73.284483
1151,0,18.80171,73.322773
1152,0,18.442447,73.116853
2198,0,18.43939,73.116341
2164,2,17.518025,73.553956
2199,1,18.074797,73.420905
17,1,10.123417,76.347425
18,2,10.160483,76.442131
1338,1,9.581386,77.113642
2335,1,10.063225,76.311872
2334,1,10.080819,76.317908
2333,2,10.083386,76.319817
2336,2,10.220439,76.217439
20,2,11.268106,75.978036
21,2,11.247461,75.924269
42,1,9.075158,76.81881
43,1,9.804794,76.453225
1154,2,10.25425,76.348553
1155,0,8.478967,76.970486
1156,2,9.326633,76.622158
1341,1,9.370489,76.410269
1565,1,9.325719,76.520939
1339,2,10.197164,76.378953
1340,2,9.395686,76.640564
1384,2,9.492842,76.749125
